date,open,high,low,close,volume,value
2020-06-29,21.6,21.9,20.4,21.6,69518106.17590167,1476702372.912724
2020-06-30,21.6,21.7,20.6,20.7,30848948.07897774,653235788.9613777
2020-07-01,20.7,21.3,20.3,20.9,20765219.3000736,429841077.4859739
2020-07-02,20.8,21.5,20.0,20.8,23336562.1074451,487239315.39243793
2020-07-03,20.7,20.8,19.8,20.4,31176913.96931848,635380479.2416683
2020-07-04,20.4,23.3,20.2,22.8,53155685.5696732,1172451242.0149567
2020-07-05,22.8,23.2,21.3,22.1,63246337.92934573,1420253090.9817982
2020-07-06,22.3,23.1,22.0,22.5,22317917.96559965,502187775.9437721
2020-07-07,22.5,24.7,22.2,24.0,56191660.21718958,1327330472.2384925
2020-07-08,24.2,25.3,23.9,24.7,52098944.63667925,1283014494.3284082
2020-07-09,24.7,24.7,22.8,23.5,40889618.19265928,972173291.6842093
2020-07-10,23.7,23.7,22.4,23.4,23465766.29183372,540540599.1160233
2020-07-11,23.5,24.2,23.2,23.7,22509866.12863342,531503732.59162605
2020-07-12,23.8,23.8,22.9,23.1,19666958.20447053,460437822.78693455
2020-07-13,23.1,24.9,22.5,23.8,98069058.19068278,2344197643.984975
2020-07-14,23.8,23.9,23.1,23.5,24130689.61734483,564884868.3381023
2020-07-15,23.7,23.9,22.8,23.1,20277010.33942069,473779468.622455
2020-07-16,23.1,23.2,20.5,21.6,57787679.80677153,1250270333.2976146
2020-07-17,21.7,22.2,21.1,21.6,22074769.9162727,476620467.75618505
2020-07-18,21.6,21.7,21.2,21.4,15159704.0445981,324724934.03698087
2020-07-19,21.4,21.8,20.9,21.2,27041271.19886863,573948262.6639382
2020-07-20,21.2,21.4,20.3,20.6,32317917.16603883,678227789.8330083
2020-07-21,20.7,21.7,20.6,21.3,34402008.74362863,731889155.5576075
2020-07-22,21.4,22.2,21.0,22.2,26075663.23658388,561491352.1070678
2020-07-23,22.3,23.3,22.0,23.1,33686713.15473635,762306523.5011472
2020-07-24,23.1,23.1,21.7,21.9,21889414.49121758,488416694.99797493
2020-07-25,21.9,22.2,21.7,21.9,14014857.60110497,307139897.11720204
2020-07-26,21.9,22.0,21.0,21.2,18832472.14257371,404032428.9185517
